ID,TIME_ROUTE_1,COST_ROUTE_1,TIME_ROUTE_2,COST_ROUTE_2,CHOICE
1,20,6.5,30,3,
1,20,6.5,35,3,
2,20,6.5,30,3,
2,20,6.5,35,3,
3,20,6.5,30,3,
3,20,6.5,35,3,
4,20,6.5,30,3,
4,20,6.5,35,3,
5,20,6.5,30,3,
5,20,6.5,35,3,
6,20,6.5,30,3,
6,20,6.5,35,3,
7,20,6.5,30,3,
7,20,6.5,35,3,
8,20,6.5,30,3,
8,20,6.5,35,3,
9,20,6.5,30,3,
9,20,6.5,35,3,
10,20,6.5,30,3,
10,20,6.5,35,3,
11,20,6.5,30,3,
11,20,6.5,35,3,
12,20,6.5,30,3,
12,20,6.5,35,3,
13,20,6.5,30,3,
13,20,6.5,35,3,
14,20,6.5,30,3,
14,20,6.5,35,3,
15,20,6.5,30,3,
15,20,6.5,35,3,
16,20,6.5,30,3,
16,20,6.5,35,3,
17,20,6.5,30,3,
17,20,6.5,35,3,
18,20,6.5,30,3,
18,20,6.5,35,3,
19,20,6.5,30,3,
19,20,6.5,35,3,
20,20,6.5,30,3,
20,20,6.5,35,3,
21,20,6.5,30,3,
21,20,6.5,35,3,
22,20,6.5,30,3,
22,20,6.5,35,3,
23,20,6.5,30,3,
23,20,6.5,35,3,
24,20,6.5,30,3,
24,20,6.5,35,3,
25,20,6.5,30,3,
25,20,6.5,35,3,
26,20,6.5,30,3,
26,20,6.5,35,3,
27,20,6.5,30,3,
27,20,6.5,35,3,
28,20,6.5,30,3,
28,20,6.5,35,3,
29,20,6.5,30,3,
29,20,6.5,35,3,
30,20,6.5,30,3,
30,20,6.5,35,3,
31,20,6.5,30,3,
31,20,6.5,35,3,
32,20,6.5,30,3,
32,20,6.5,35,3,
33,20,6.5,30,3,
33,20,6.5,35,3,
34,20,6.5,30,3,
34,20,6.5,35,3,
35,20,6.5,30,3,
35,20,6.5,35,3,
36,20,6.5,30,3,
36,20,6.5,35,3,
37,20,6.5,30,3,
37,20,6.5,35,3,
38,20,6.5,30,3,
38,20,6.5,35,3,
39,20,6.5,30,3,
39,20,6.5,35,3,
40,20,6.5,30,3,
40,20,6.5,35,3,
41,20,6.5,30,3,
41,20,6.5,35,3,
42,20,6.5,30,3,
42,20,6.5,35,3,
43,20,6.5,30,3,
43,20,6.5,35,3,
44,20,6.5,30,3,
44,20,6.5,35,3,
45,20,6.5,30,3,
45,20,6.5,35,3,
46,20,6.5,30,3,
46,20,6.5,35,3,
47,20,6.5,30,3,
47,20,6.5,35,3,
48,20,6.5,30,3,
48,20,6.5,35,3,
49,20,6.5,30,3,
49,20,6.5,35,3,
50,20,6.5,30,3,
50,20,6.5,35,3,
51,20,6.5,30,3,
51,20,6.5,35,3,
52,20,6.5,30,3,
52,20,6.5,35,3,
53,20,6.5,30,3,
53,20,6.5,35,3,
54,20,6.5,30,3,
54,20,6.5,35,3,
55,20,6.5,30,3,
55,20,6.5,35,3,
56,20,6.5,30,3,
56,20,6.5,35,3,
57,20,6.5,30,3,
57,20,6.5,35,3,
58,20,6.5,30,3,
58,20,6.5,35,3,
59,20,6.5,30,3,
59,20,6.5,35,3,
60,20,6.5,30,3,
60,20,6.5,35,3,
61,20,6.5,30,3,
61,20,6.5,35,3,
62,20,6.5,30,3,
62,20,6.5,35,3,
63,20,6.5,30,3,
63,20,6.5,35,3,
64,20,6.5,30,3,
64,20,6.5,35,3,
65,20,6.5,30,3,
65,20,6.5,35,3,
66,20,6.5,30,3,
66,20,6.5,35,3,
67,20,6.5,30,3,
67,20,6.5,35,3,
68,20,6.5,30,3,
68,20,6.5,35,3,
69,20,6.5,30,3,
69,20,6.5,35,3,
70,20,6.5,30,3,
70,20,6.5,35,3,
71,20,6.5,30,3,
71,20,6.5,35,3,
72,20,6.5,30,3,
72,20,6.5,35,3,
73,20,6.5,30,3,
73,20,6.5,35,3,
74,20,6.5,30,3,
74,20,6.5,35,3,
75,20,6.5,30,3,
75,20,6.5,35,3,
76,20,6.5,30,3,
76,20,6.5,35,3,
77,20,6.5,30,3,
77,20,6.5,35,3,
78,20,6.5,30,3,
78,20,6.5,35,3,
79,20,6.5,30,3,
79,20,6.5,35,3,
80,20,6.5,30,3,
80,20,6.5,35,3,
81,20,6.5,30,3,
81,20,6.5,35,3,
82,20,6.5,30,3,
82,20,6.5,35,3,
83,20,6.5,30,3,
83,20,6.5,35,3,
84,20,6.5,30,3,
84,20,6.5,35,3,
85,20,6.5,30,3,
85,20,6.5,35,3,
86,20,6.5,30,3,
86,20,6.5,35,3,
87,20,6.5,30,3,
87,20,6.5,35,3,
88,20,6.5,30,3,
88,20,6.5,35,3,
89,20,6.5,30,3,
89,20,6.5,35,3,
90,20,6.5,30,3,
90,20,6.5,35,3,
91,20,6.5,30,3,
91,20,6.5,35,3,
92,20,6.5,30,3,
92,20,6.5,35,3,
93,20,6.5,30,3,
93,20,6.5,35,3,
94,20,6.5,30,3,
94,20,6.5,35,3,
95,20,6.5,30,3,
95,20,6.5,35,3,
96,20,6.5,30,3,
96,20,6.5,35,3,
97,20,6.5,30,3,
97,20,6.5,35,3,
98,20,6.5,30,3,
98,20,6.5,35,3,
99,20,6.5,30,3,
99,20,6.5,35,3,
100,20,6.5,30,3,
100,20,6.5,35,3,
101,20,6.5,30,3,
101,20,6.5,35,3,
102,20,6.5,30,3,
102,20,6.5,35,3,
103,20,6.5,30,3,
103,20,6.5,35,3,
104,20,6.5,30,3,
104,20,6.5,35,3,
105,20,6.5,30,3,
105,20,6.5,35,3,
106,20,6.5,30,3,
106,20,6.5,35,3,
107,20,6.5,30,3,
107,20,6.5,35,3,
108,20,6.5,30,3,
108,20,6.5,35,3,
109,20,6.5,30,3,
109,20,6.5,35,3,
110,20,6.5,30,3,
110,20,6.5,35,3,
111,20,6.5,30,3,
111,20,6.5,35,3,
112,20,6.5,30,3,
112,20,6.5,35,3,
113,20,6.5,30,3,
113,20,6.5,35,3,
114,20,6.5,30,3,
114,20,6.5,35,3,
115,20,6.5,30,3,
115,20,6.5,35,3,
116,20,6.5,30,3,
116,20,6.5,35,3,
117,20,6.5,30,3,
117,20,6.5,35,3,
118,20,6.5,30,3,
118,20,6.5,35,3,
119,20,6.5,30,3,
119,20,6.5,35,3,
120,20,6.5,30,3,
120,20,6.5,35,3,
121,20,6.5,30,3,
121,20,6.5,35,3,
122,20,6.5,30,3,
122,20,6.5,35,3,
123,20,6.5,30,3,
123,20,6.5,35,3,
124,20,6.5,30,3,
124,20,6.5,35,3,
125,20,6.5,30,3,
125,20,6.5,35,3,
126,20,6.5,30,3,
126,20,6.5,35,3,
127,20,6.5,30,3,
127,20,6.5,35,3,
128,20,6.5,30,3,
128,20,6.5,35,3,
129,20,6.5,30,3,
129,20,6.5,35,3,
130,20,6.5,30,3,
130,20,6.5,35,3,
131,20,6.5,30,3,
131,20,6.5,35,3,
132,20,6.5,30,3,
132,20,6.5,35,3,
133,20,6.5,30,3,
133,20,6.5,35,3,
134,20,6.5,30,3,
134,20,6.5,35,3,
135,20,6.5,30,3,
135,20,6.5,35,3,
136,20,6.5,30,3,
136,20,6.5,35,3,
137,20,6.5,30,3,
137,20,6.5,35,3,
138,20,6.5,30,3,
138,20,6.5,35,3,
139,20,6.5,30,3,
139,20,6.5,35,3,
140,20,6.5,30,3,
140,20,6.5,35,3,
141,20,6.5,30,3,
141,20,6.5,35,3,
142,20,6.5,30,3,
142,20,6.5,35,3,
143,20,6.5,30,3,
143,20,6.5,35,3,
144,20,6.5,30,3,
144,20,6.5,35,3,
145,20,6.5,30,3,
145,20,6.5,35,3,
146,20,6.5,30,3,
146,20,6.5,35,3,
147,20,6.5,30,3,
147,20,6.5,35,3,
148,20,6.5,30,3,
148,20,6.5,35,3,
149,20,6.5,30,3,
149,20,6.5,35,3,
150,20,6.5,30,3,
150,20,6.5,35,3,
151,20,6.5,30,3,
151,20,6.5,35,3,
152,20,6.5,30,3,
152,20,6.5,35,3,
153,20,6.5,30,3,
153,20,6.5,35,3,
154,20,6.5,30,3,
154,20,6.5,35,3,
155,20,6.5,30,3,
155,20,6.5,35,3,
156,20,6.5,30,3,
156,20,6.5,35,3,
157,20,6.5,30,3,
157,20,6.5,35,3,
158,20,6.5,30,3,
158,20,6.5,35,3,
159,20,6.5,30,3,
159,20,6.5,35,3,
160,20,6.5,30,3,
160,20,6.5,35,3,
161,20,6.5,30,3,
161,20,6.5,35,3,
162,20,6.5,30,3,
162,20,6.5,35,3,
163,20,6.5,30,3,
163,20,6.5,35,3,
164,20,6.5,30,3,
164,20,6.5,35,3,
165,20,6.5,30,3,
165,20,6.5,35,3,
166,20,6.5,30,3,
166,20,6.5,35,3,
167,20,6.5,30,3,
167,20,6.5,35,3,
168,20,6.5,30,3,
168,20,6.5,35,3,
169,20,6.5,30,3,
169,20,6.5,35,3,
170,20,6.5,30,3,
170,20,6.5,35,3,
171,20,6.5,30,3,
171,20,6.5,35,3,
172,20,6.5,30,3,
172,20,6.5,35,3,
173,20,6.5,30,3,
173,20,6.5,35,3,
174,20,6.5,30,3,
174,20,6.5,35,3,
175,20,6.5,30,3,
175,20,6.5,35,3,
176,20,6.5,30,3,
176,20,6.5,35,3,
177,20,6.5,30,3,
177,20,6.5,35,3,
178,20,6.5,30,3,
178,20,6.5,35,3,
179,20,6.5,30,3,
179,20,6.5,35,3,
180,20,6.5,30,3,
180,20,6.5,35,3,
181,20,6.5,30,3,
181,20,6.5,35,3,
182,20,6.5,30,3,
182,20,6.5,35,3,
183,20,6.5,30,3,
183,20,6.5,35,3,
184,20,6.5,30,3,
184,20,6.5,35,3,
185,20,6.5,30,3,
185,20,6.5,35,3,
186,20,6.5,30,3,
186,20,6.5,35,3,
187,20,6.5,30,3,
187,20,6.5,35,3,
188,20,6.5,30,3,
188,20,6.5,35,3,
189,20,6.5,30,3,
189,20,6.5,35,3,
190,20,6.5,30,3,
190,20,6.5,35,3,
191,20,6.5,30,3,
191,20,6.5,35,3,
192,20,6.5,30,3,
192,20,6.5,35,3,
193,20,6.5,30,3,
193,20,6.5,35,3,
194,20,6.5,30,3,
194,20,6.5,35,3,
195,20,6.5,30,3,
195,20,6.5,35,3,
196,20,6.5,30,3,
196,20,6.5,35,3,
197,20,6.5,30,3,
197,20,6.5,35,3,
198,20,6.5,30,3,
198,20,6.5,35,3,
199,20,6.5,30,3,
199,20,6.5,35,3,
200,20,6.5,30,3,
200,20,6.5,35,3,
