OBS,PURPOSE,LUGGAGE,AGE,GENDER,TRAIN_TIME,TRAIN_COST,TRAIN_HEADWAY,SM_TIME,SM_COST,SM_HEADWAY,CAR_TIME,CAR_COST,AV_TRAIN,AV_SM,AV_CAR,CHOICE
1,1,0,3,0,112,48,120,63,52,20,117,65,1,1,1,2
2,1,0,3,0,103,48,30,60,49,10,117,84,1,1,1,2
3,1,0,3,0,130,48,60,67,58,30,117,52,1,1,1,2
4,1,0,3,0,103,40,30,63,52,20,72,52,1,1,1,2
5,1,0,3,0,130,36,60,63,42,20,90,84,1,1,1,2
6,1,0,3,0,112,36,120,60,49,10,90,52,1,1,1,2
7,1,0,3,0,103,48,120,67,58,10,72,65,1,1,1,2
8,1,0,3,0,103,36,30,67,43,30,90,65,1,1,1,1
9,1,0,3,0,130,40,60,60,46,10,72,65,1,1,1,2
10,1,1,2,1,58,32,30,29,35,10,105,40,1,1,1,2
11,1,1,2,1,58,29,30,25,38,20,136,50,1,1,1,2
12,1,1,2,1,58,32,120,27,40,10,136,65,1,1,1,2
13,1,1,2,1,47,29,60,25,38,30,84,65,1,1,1,2
14,1,1,2,1,51,32,30,25,36,30,136,40,1,1,1,2
15,1,1,2,1,51,38,60,25,42,20,84,40,1,1,1,2
16,1,1,2,1,51,29,30,27,32,10,84,50,1,1,1,2
17,1,1,2,1,51,32,60,27,40,30,105,50,1,1,1,2
18,1,1,2,1,58,38,30,27,42,30,84,65,1,1,1,2
19,1,1,2,1,138,40,30,65,45,10,135,80,1,1,1,2
20,1,1,2,1,138,40,120,61,52,10,175,130,1,1,1,2
21,1,1,2,1,138,36,30,58,49,20,175,100,1,1,1,2
22,1,1,2,1,105,36,60,58,49,30,108,130,1,1,1,2
23,1,1,2,1,116,40,30,58,46,30,175,80,1,1,1,2
24,1,1,2,1,116,36,30,61,42,10,108,100,1,1,1,2
25,1,1,2,1,116,48,60,58,50,20,108,80,1,1,1,2
26,1,1,2,1,138,48,30,61,52,30,108,130,1,1,1,2
27,1,1,2,1,116,40,60,61,52,30,135,100,1,1,1,2
28,1,1,3,0,116,35,120,46,38,30,70,35,1,1,1,2
29,1,1,3,0,95,26,120,49,29,30,91,28,1,1,1,2
30,1,1,3,0,116,26,120,53,32,20,56,28,1,1,1,2
31,1,1,3,0,102,26,60,53,32,10,91,45,1,1,1,2
32,1,1,3,0,102,29,120,53,32,30,56,45,1,1,1,2
33,1,1,3,0,95,29,60,53,32,20,91,35,1,1,1,2
34,1,1,3,0,95,35,60,49,40,10,70,28,1,1,1,2
35,1,1,3,0,95,29,120,46,35,20,70,45,1,1,1,2
36,1,1,3,0,102,35,30,53,46,20,70,45,1,1,1,2
37,1,1,3,1,87,42,120,32,49,20,117,140,1,1,1,2
38,1,1,3,1,80,42,30,29,46,10,117,182,1,1,1,2
39,1,1,3,1,101,42,60,36,56,30,117,112,1,1,1,2
40,1,1,3,1,80,35,30,32,49,20,72,112,1,1,1,2
41,1,1,3,1,101,31,60,32,38,20,90,182,1,1,1,2
42,1,1,3,1,87,31,120,29,46,10,90,112,1,1,1,2
43,1,1,3,1,80,42,120,36,56,10,72,140,1,1,1,1
44,1,1,3,1,80,31,30,36,40,30,90,140,1,1,1,2
45,1,1,3,1,101,35,60,29,43,10,72,140,1,1,1,2
46,1,1,4,1,109,26,120,56,34,20,130,30,1,1,1,2
47,1,1,4,1,100,26,30,53,32,10,130,39,1,1,1,2
48,1,1,4,1,126,26,60,60,40,30,130,24,1,1,1,2
49,1,1,4,1,100,22,30,56,35,20,80,24,1,1,1,3
50,1,1,4,1,126,20,60,56,24,20,100,39,1,1,1,2
51,1,1,4,1,109,20,120,53,32,10,100,24,1,1,1,3
52,1,1,4,1,100,26,120,60,40,10,80,30,1,1,1,3
53,1,1,4,1,100,20,30,60,26,30,100,30,1,1,1,2
54,1,1,4,1,126,22,60,53,28,10,80,30,1,1,1,2
55,1,1,2,1,116,24,30,53,28,10,60,32,1,1,1,2
56,1,1,2,1,116,22,30,46,32,20,78,40,1,1,1,2
57,1,1,2,1,116,24,120,49,36,10,78,52,1,1,1,2
58,1,1,2,1,95,22,60,46,32,30,48,52,1,1,1,2
59,1,1,2,1,102,24,30,46,29,30,78,32,1,1,1,2
60,1,1,2,1,102,29,60,46,32,20,48,32,1,1,1,2
61,1,1,2,1,102,22,30,49,25,10,48,40,1,1,1,2
62,1,1,2,1,102,24,60,49,36,30,60,40,1,1,1,2
63,1,1,2,1,116,29,30,49,35,30,48,52,1,1,1,2
64,1,1,3,1,130,31,120,77,38,20,91,100,1,1,1,2
65,1,1,3,1,118,31,30,74,36,10,91,130,1,1,1,2
66,1,1,3,1,153,31,60,81,43,30,91,80,1,1,1,2
67,1,1,3,1,118,26,30,77,38,20,56,80,1,1,1,1
68,1,1,3,1,153,23,60,77,28,20,70,130,1,1,1,2
69,1,1,3,1,130,23,120,74,35,10,70,80,1,1,1,2
70,1,1,3,1,118,31,120,81,43,10,56,100,1,1,1,2
71,1,1,3,1,118,23,30,81,29,30,70,100,1,1,1,1
72,1,1,3,1,153,26,60,74,32,10,56,100,1,1,1,2
73,1,1,3,1,208,62,30,79,66,10,190,80,1,1,1,2
74,1,1,3,1,208,62,120,71,80,10,247,130,1,1,1,2
75,1,1,3,1,208,56,30,65,74,20,247,100,1,1,1,2
76,1,1,3,1,165,56,60,65,74,30,152,130,1,1,1,2
77,1,1,3,1,179,62,30,65,70,30,247,80,1,1,1,2
78,1,1,3,1,179,56,30,71,62,10,152,100,1,1,1,2
79,1,1,3,1,179,74,60,65,78,20,152,80,1,1,1,2
80,1,1,3,1,208,74,30,71,80,30,152,130,1,1,1,2
81,1,1,3,1,179,62,60,71,80,30,190,100,1,1,1,2
82,1,0,1,1,132,23,30,61,26,10,90,20,1,1,1,2
83,1,0,1,1,132,23,120,57,31,10,117,32,1,1,1,2
84,1,0,1,1,132,21,30,54,28,20,117,25,1,1,1,2
85,1,0,1,1,102,21,60,54,28,30,72,32,1,1,1,2
86,1,0,1,1,112,23,30,54,28,30,117,20,1,1,1,2
87,1,0,1,1,112,21,30,57,24,10,72,25,1,1,1,2
88,1,0,1,1,112,28,60,54,30,20,72,20,1,1,1,2
89,1,0,1,1,132,28,30,57,31,30,72,32,1,1,1,2
90,1,0,1,1,112,23,60,57,31,30,90,25,1,1,1,2
91,1,0,3,1,186,24,30,95,27,10,110,32,1,1,1,2
92,1,0,3,1,186,24,120,89,32,10,143,52,1,1,1,2
93,1,0,3,1,186,22,30,84,30,20,143,40,1,1,1,2
94,1,0,3,1,154,22,60,84,30,30,88,52,1,1,1,2
95,1,0,3,1,165,24,30,84,28,30,143,32,1,1,1,2
96,1,0,3,1,165,22,30,89,25,10,88,40,1,1,1,2
97,1,0,3,1,165,29,60,84,30,20,88,32,1,1,1,2
98,1,0,3,1,186,29,30,89,32,30,88,52,1,1,1,2
99,1,0,3,1,165,24,60,89,32,30,110,40,1,1,1,2
100,1,1,1,0,212,26,120,121,27,30,1200,10,1,1,1,3
