,ID,TIME_ROUTE_1,COST_ROUTE_1,TIME_ROUTE_2,COST_ROUTE_2,CHOICE,V_1,V_2,e_1,e_2,U_1,U_2,y_1,y_2,P_1,P_2
0,1,20,6.5,30,3,2,-22.0,-19.5,0.43740181270302125,0.1528242397195747,-21.562598187296977,-19.347175760280425,0,1,0.07585818002124355,0.9241418199787564
1,1,20,6.5,35,3,2,-22.0,-21.75,-0.11587536130706926,1.766042143437285,-22.11587536130707,-19.983957856562714,0,1,0.4378234991142019,0.5621765008857982
2,2,20,6.5,30,3,1,-22.0,-19.5,1.5543739686883944,-1.0064767333428655,-20.445626031311605,-20.506476733342865,1,0,0.07585818002124355,0.9241418199787564
3,2,20,6.5,35,3,2,-22.0,-21.75,-0.06609912255382866,5.008557676452468,-22.06609912255383,-16.74144232354753,0,1,0.4378234991142019,0.5621765008857982
4,3,20,6.5,30,3,2,-22.0,-19.5,2.021577907365642,-0.4219447016574969,-19.978422092634357,-19.921944701657498,0,1,0.07585818002124355,0.9241418199787564
5,3,20,6.5,35,3,2,-22.0,-21.75,1.4457567980364352,2.658180018928496,-20.554243201963565,-19.091819981071502,0,1,0.4378234991142019,0.5621765008857982
6,4,20,6.5,30,3,2,-22.0,-19.5,-0.7071365831095883,-0.3853990884052013,-22.707136583109587,-19.8853990884052,0,1,0.07585818002124355,0.9241418199787564
7,4,20,6.5,35,3,2,-22.0,-21.75,-0.21190552573039376,1.160072274450626,-22.211905525730394,-20.589927725549373,0,1,0.4378234991142019,0.5621765008857982
8,5,20,6.5,30,3,2,-22.0,-19.5,0.8218052429940307,2.5053147158629927,-21.17819475700597,-16.994685284137006,0,1,0.07585818002124355,0.9241418199787564
9,5,20,6.5,35,3,1,-22.0,-21.75,1.2922776019897628,0.7711193088004135,-20.707722398010237,-20.978880691199585,1,0,0.4378234991142019,0.5621765008857982
10,6,20,6.5,30,3,2,-22.0,-19.5,0.1823113130000655,3.145542619876223,-21.817688686999933,-16.354457380123776,0,1,0.07585818002124355,0.9241418199787564
11,6,20,6.5,35,3,1,-22.0,-21.75,0.29302746012679604,-1.808636075275639,-21.706972539873203,-23.55863607527564,1,0,0.4378234991142019,0.5621765008857982
12,7,20,6.5,30,3,2,-22.0,-19.5,2.1987058795137786,1.4449535992528335,-19.801294120486222,-18.055046400747166,0,1,0.07585818002124355,0.9241418199787564
13,7,20,6.5,35,3,2,-22.0,-21.75,0.2424480925912506,2.3957833545149123,-21.75755190740875,-19.35421664548509,0,1,0.4378234991142019,0.5621765008857982
14,8,20,6.5,30,3,2,-22.0,-19.5,0.3659567905207498,-0.20591134071932965,-21.634043209479252,-19.70591134071933,0,1,0.07585818002124355,0.9241418199787564
15,8,20,6.5,35,3,2,-22.0,-21.75,-0.13702316268492634,0.3093022743574717,-22.137023162684926,-21.44069772564253,0,1,0.4378234991142019,0.5621765008857982
16,9,20,6.5,30,3,2,-22.0,-19.5,-0.6074582387077484,-1.424210100660671,-22.60745823870775,-20.92421010066067,0,1,0.07585818002124355,0.9241418199787564
17,9,20,6.5,35,3,1,-22.0,-21.75,1.1787838528008099,-0.6760256062919635,-20.82121614719919,-22.426025606291965,1,0,0.4378234991142019,0.5621765008857982
18,10,20,6.5,30,3,2,-22.0,-19.5,-0.10152581816817459,-0.06274935693073792,-22.101525818168174,-19.562749356930738,0,1,0.07585818002124355,0.9241418199787564
19,10,20,6.5,35,3,1,-22.0,-21.75,0.9723737567006856,0.1424800794815278,-21.027626243299313,-21.607519920518474,1,0,0.4378234991142019,0.5621765008857982
20,11,20,6.5,30,3,2,-22.0,-19.5,0.3085003072732995,0.3015161112468063,-21.6914996927267,-19.198483888753195,0,1,0.07585818002124355,0.9241418199787564
21,11,20,6.5,35,3,2,-22.0,-21.75,0.7171522223370336,1.068194892139036,-21.282847777662965,-20.681805107860963,0,1,0.4378234991142019,0.5621765008857982
22,12,20,6.5,30,3,2,-22.0,-19.5,1.0434379875820396,2.293250339599393,-20.95656201241796,-17.206749660400607,0,1,0.07585818002124355,0.9241418199787564
23,12,20,6.5,35,3,2,-22.0,-21.75,-0.20751604257578848,4.8046021796212655,-22.20751604257579,-16.945397820378734,0,1,0.4378234991142019,0.5621765008857982
24,13,20,6.5,30,3,1,-22.0,-19.5,3.7626646837191537,0.29696357209294333,-18.237335316280845,-19.20303642790706,1,0,0.07585818002124355,0.9241418199787564
25,13,20,6.5,35,3,2,-22.0,-21.75,0.5064552211882931,2.1887298359054155,-21.493544778811707,-19.561270164094584,0,1,0.4378234991142019,0.5621765008857982
26,14,20,6.5,30,3,2,-22.0,-19.5,0.6083068018116463,2.160900319257748,-21.391693198188353,-17.33909968074225,0,1,0.07585818002124355,0.9241418199787564
27,14,20,6.5,35,3,1,-22.0,-21.75,1.4213431451648215,-0.8738361584026174,-20.578656854835177,-22.623836158402618,1,0,0.4378234991142019,0.5621765008857982
28,15,20,6.5,30,3,2,-22.0,-19.5,-0.03794184296980172,0.841893864666701,-22.0379418429698,-18.6581061353333,0,1,0.07585818002124355,0.9241418199787564
29,15,20,6.5,35,3,1,-22.0,-21.75,-0.7171182045133325,-1.3798007418835216,-22.717118204513334,-23.12980074188352,1,0,0.4378234991142019,0.5621765008857982
30,16,20,6.5,30,3,2,-22.0,-19.5,-0.7423869403224617,1.5527039779358318,-22.74238694032246,-17.94729602206417,0,1,0.07585818002124355,0.9241418199787564
31,16,20,6.5,35,3,2,-22.0,-21.75,-1.5062125561635744,1.375498856449025,-23.506212556163575,-20.374501143550976,0,1,0.4378234991142019,0.5621765008857982
32,17,20,6.5,30,3,2,-22.0,-19.5,-0.5116895845045463,0.7026563057021781,-22.511689584504545,-18.797343694297822,0,1,0.07585818002124355,0.9241418199787564
33,17,20,6.5,35,3,1,-22.0,-21.75,0.8982822933075546,0.0009252247210942071,-21.101717706692444,-21.749074775278906,1,0,0.4378234991142019,0.5621765008857982
34,18,20,6.5,30,3,2,-22.0,-19.5,0.08449374792357828,0.7639836976072413,-21.915506252076423,-18.73601630239276,0,1,0.07585818002124355,0.9241418199787564
35,18,20,6.5,35,3,1,-22.0,-21.75,1.7530095122707514,1.205907929346947,-20.24699048772925,-20.544092070653054,1,0,0.4378234991142019,0.5621765008857982
36,19,20,6.5,30,3,2,-22.0,-19.5,1.7820194822450177,0.07983030622044517,-20.21798051775498,-19.420169693779556,0,1,0.07585818002124355,0.9241418199787564
37,19,20,6.5,35,3,2,-22.0,-21.75,-0.6307186184417083,1.8269666073507336,-22.63071861844171,-19.923033392649266,0,1,0.4378234991142019,0.5621765008857982
38,20,20,6.5,30,3,1,-22.0,-19.5,3.095514244881444,-0.03126374047558385,-18.904485755118557,-19.531263740475584,1,0,0.07585818002124355,0.9241418199787564
39,20,20,6.5,35,3,2,-22.0,-21.75,1.0701797655119112,1.6255827983061255,-20.92982023448809,-20.124417201693873,0,1,0.4378234991142019,0.5621765008857982
40,21,20,6.5,30,3,2,-22.0,-19.5,0.23336162806665986,0.8102800153431403,-21.76663837193334,-18.68971998465686,0,1,0.07585818002124355,0.9241418199787564
41,21,20,6.5,35,3,1,-22.0,-21.75,0.6938554676875162,0.3247024436132336,-21.306144532312484,-21.425297556386766,1,0,0.4378234991142019,0.5621765008857982
42,22,20,6.5,30,3,2,-22.0,-19.5,1.4870393371107933,0.5266150863051943,-20.512960662889206,-18.973384913694805,0,1,0.07585818002124355,0.9241418199787564
43,22,20,6.5,35,3,2,-22.0,-21.75,1.4632576944359519,1.4846560546041363,-20.536742305564047,-20.265343945395863,0,1,0.4378234991142019,0.5621765008857982
44,23,20,6.5,30,3,1,-22.0,-19.5,3.5157983622417714,0.7995213637440566,-18.48420163775823,-18.700478636255944,1,0,0.07585818002124355,0.9241418199787564
45,23,20,6.5,35,3,2,-22.0,-21.75,-0.677275031022558,-0.437358956906747,-22.677275031022557,-22.187358956906746,0,1,0.4378234991142019,0.5621765008857982
46,24,20,6.5,30,3,2,-22.0,-19.5,1.827322082541835,0.8099681581146992,-20.172677917458167,-18.6900318418853,0,1,0.07585818002124355,0.9241418199787564
47,24,20,6.5,35,3,1,-22.0,-21.75,-0.7057439588064621,-1.0872499986489788,-22.705743958806462,-22.83724999864898,1,0,0.4378234991142019,0.5621765008857982
48,25,20,6.5,30,3,2,-22.0,-19.5,-0.0690647182429472,-0.6520390133998286,-22.06906471824295,-20.15203901339983,0,1,0.07585818002124355,0.9241418199787564
49,25,20,6.5,35,3,1,-22.0,-21.75,0.7537878663369392,0.3240087428028624,-21.24621213366306,-21.425991257197136,1,0,0.4378234991142019,0.5621765008857982
50,26,20,6.5,30,3,2,-22.0,-19.5,-1.547847536923067,0.23578077312757514,-23.54784753692307,-19.264219226872424,0,1,0.07585818002124355,0.9241418199787564
51,26,20,6.5,35,3,1,-22.0,-21.75,0.09441464688424489,-1.0875233788324712,-21.905585353115754,-22.837523378832472,1,0,0.4378234991142019,0.5621765008857982
52,27,20,6.5,30,3,2,-22.0,-19.5,1.8672304358687986,0.200378482480805,-20.132769564131202,-19.299621517519196,0,1,0.07585818002124355,0.9241418199787564
53,27,20,6.5,35,3,1,-22.0,-21.75,2.3032354001007973,1.8818067787618713,-19.696764599899204,-19.86819322123813,1,0,0.4378234991142019,0.5621765008857982
54,28,20,6.5,30,3,2,-22.0,-19.5,3.0495751735782313,0.7344246264081722,-18.95042482642177,-18.76557537359183,0,1,0.07585818002124355,0.9241418199787564
55,28,20,6.5,35,3,2,-22.0,-21.75,1.3065053720406763,1.2324201662269043,-20.693494627959325,-20.517579833773095,0,1,0.4378234991142019,0.5621765008857982
56,29,20,6.5,30,3,2,-22.0,-19.5,-1.233240706135422,1.1555282695927305,-23.233240706135422,-18.34447173040727,0,1,0.07585818002124355,0.9241418199787564
57,29,20,6.5,35,3,2,-22.0,-21.75,0.7587496441398047,1.2001201973522269,-21.241250355860195,-20.549879802647773,0,1,0.4378234991142019,0.5621765008857982
58,30,20,6.5,30,3,2,-22.0,-19.5,0.9433425514495534,0.28913266455658254,-21.056657448550446,-19.210867335443417,0,1,0.07585818002124355,0.9241418199787564
59,30,20,6.5,35,3,2,-22.0,-21.75,-0.4231221939433594,-0.29834505604308814,-22.42312219394336,-22.04834505604309,0,1,0.4378234991142019,0.5621765008857982
60,31,20,6.5,30,3,2,-22.0,-19.5,-0.5427237413148562,-0.3689636870437855,-22.542723741314855,-19.868963687043784,0,1,0.07585818002124355,0.9241418199787564
61,31,20,6.5,35,3,2,-22.0,-21.75,0.7024556220040107,0.4887831717153905,-21.29754437799599,-21.26121682828461,0,1,0.4378234991142019,0.5621765008857982
62,32,20,6.5,30,3,2,-22.0,-19.5,-0.56575194826149,0.054127321054970874,-22.56575194826149,-19.44587267894503,0,1,0.07585818002124355,0.9241418199787564
63,32,20,6.5,35,3,1,-22.0,-21.75,0.593572957146781,-0.1672830469154503,-21.40642704285322,-21.91728304691545,1,0,0.4378234991142019,0.5621765008857982
64,33,20,6.5,30,3,2,-22.0,-19.5,-0.038644967052985035,-0.02631969594196917,-22.038644967052985,-19.526319695941968,0,1,0.07585818002124355,0.9241418199787564
65,33,20,6.5,35,3,2,-22.0,-21.75,0.9620370124444938,1.2682482806330322,-21.037962987555506,-20.48175171936697,0,1,0.4378234991142019,0.5621765008857982
66,34,20,6.5,30,3,2,-22.0,-19.5,0.7620331556605161,2.2433040171562193,-21.237966844339486,-17.25669598284378,0,1,0.07585818002124355,0.9241418199787564
67,34,20,6.5,35,3,1,-22.0,-21.75,1.5978746777467796,0.7191793982150971,-20.40212532225322,-21.030820601784903,1,0,0.4378234991142019,0.5621765008857982
68,35,20,6.5,30,3,1,-22.0,-19.5,5.958672597305616,-1.0640588192775642,-16.041327402694385,-20.564058819277562,1,0,0.07585818002124355,0.9241418199787564
69,35,20,6.5,35,3,1,-22.0,-21.75,2.925399613556567,0.0706522026830948,-19.074600386443432,-21.679347797316904,1,0,0.4378234991142019,0.5621765008857982
70,36,20,6.5,30,3,2,-22.0,-19.5,0.7034459190565235,0.2828716701392484,-21.296554080943476,-19.217128329860753,0,1,0.07585818002124355,0.9241418199787564
71,36,20,6.5,35,3,1,-22.0,-21.75,3.329267477893429,-1.2684922972284078,-18.670732522106572,-23.01849229722841,1,0,0.4378234991142019,0.5621765008857982
72,37,20,6.5,30,3,1,-22.0,-19.5,2.3221268829887105,-0.8123810185417976,-19.677873117011288,-20.312381018541796,1,0,0.07585818002124355,0.9241418199787564
73,37,20,6.5,35,3,2,-22.0,-21.75,-0.20234902697255422,2.059735149748429,-22.202349026972556,-19.69026485025157,0,1,0.4378234991142019,0.5621765008857982
74,38,20,6.5,30,3,2,-22.0,-19.5,-0.3790935439055373,1.3323965731068612,-22.379093543905537,-18.167603426893137,0,1,0.07585818002124355,0.9241418199787564
75,38,20,6.5,35,3,2,-22.0,-21.75,1.426859199535963,1.4225239271152192,-20.57314080046404,-20.32747607288478,0,1,0.4378234991142019,0.5621765008857982
76,39,20,6.5,30,3,2,-22.0,-19.5,0.14278793473057533,0.7057700996811149,-21.857212065269426,-18.794229900318886,0,1,0.07585818002124355,0.9241418199787564
77,39,20,6.5,35,3,2,-22.0,-21.75,-0.5215881832878817,-0.18187382469805738,-22.521588183287882,-21.93187382469806,0,1,0.4378234991142019,0.5621765008857982
78,40,20,6.5,30,3,2,-22.0,-19.5,1.6830110342759321,2.1062312728258945,-20.316988965724068,-17.393768727174105,0,1,0.07585818002124355,0.9241418199787564
79,40,20,6.5,35,3,2,-22.0,-21.75,-0.05727985241403778,-0.050396018158976055,-22.057279852414037,-21.800396018158978,0,1,0.4378234991142019,0.5621765008857982
80,41,20,6.5,30,3,2,-22.0,-19.5,0.7663488504239382,0.7840390920534901,-21.233651149576062,-18.71596090794651,0,1,0.07585818002124355,0.9241418199787564
81,41,20,6.5,35,3,2,-22.0,-21.75,-0.78843347663038,1.317635268466084,-22.78843347663038,-20.432364731533916,0,1,0.4378234991142019,0.5621765008857982
82,42,20,6.5,30,3,2,-22.0,-19.5,1.2388667109488745,-0.19103335748494146,-20.761133289051127,-19.69103335748494,0,1,0.07585818002124355,0.9241418199787564
83,42,20,6.5,35,3,1,-22.0,-21.75,5.233782093650523,2.9039747631794945,-16.76621790634948,-18.846025236820505,1,0,0.4378234991142019,0.5621765008857982
84,43,20,6.5,30,3,2,-22.0,-19.5,-0.2651798253142166,0.8106905518595571,-22.265179825314217,-18.689309448140442,0,1,0.07585818002124355,0.9241418199787564
85,43,20,6.5,35,3,2,-22.0,-21.75,0.6108451107205752,1.218642144184781,-21.389154889279425,-20.53135785581522,0,1,0.4378234991142019,0.5621765008857982
86,44,20,6.5,30,3,2,-22.0,-19.5,-0.2637694709969195,0.26204143215397846,-22.26376947099692,-19.23795856784602,0,1,0.07585818002124355,0.9241418199787564
